"sens","spec","auc","study"
1,0,0.703998447204969,"wang"
0.695652173913043,0.446428571428571,0.703998447204969,"wang"
0.673913043478261,0.446428571428571,0.703998447204969,"wang"
0.673913043478261,0.464285714285714,0.703998447204969,"wang"
0.673913043478261,0.535714285714286,0.703998447204969,"wang"
0.673913043478261,0.553571428571429,0.703998447204969,"wang"
0.652173913043478,0.553571428571429,0.703998447204969,"wang"
0.652173913043478,0.571428571428571,0.703998447204969,"wang"
0.652173913043478,0.589285714285714,0.703998447204969,"wang"
0.608695652173913,0.607142857142857,0.703998447204969,"wang"
0.58695652173913,0.732142857142857,0.703998447204969,"wang"
0.543478260869565,0.857142857142857,0.703998447204969,"wang"
0.543478260869565,0.892857142857143,0.703998447204969,"wang"
0.521739130434783,0.892857142857143,0.703998447204969,"wang"
0.521739130434783,0.928571428571429,0.703998447204969,"wang"
0.521739130434783,0.946428571428571,0.703998447204969,"wang"
0.521739130434783,0.964285714285714,0.703998447204969,"wang"
0.521739130434783,0.982142857142857,0.703998447204969,"wang"
0.5,0.982142857142857,0.703998447204969,"wang"
0.478260869565217,0.982142857142857,0.703998447204969,"wang"
0.456521739130435,0.982142857142857,0.703998447204969,"wang"
0.434782608695652,0.982142857142857,0.703998447204969,"wang"
0.41304347826087,0.982142857142857,0.703998447204969,"wang"
0.41304347826087,1,0.703998447204969,"wang"
0.391304347826087,1,0.703998447204969,"wang"
0.347826086956522,1,0.703998447204969,"wang"
0.304347826086957,1,0.703998447204969,"wang"
0.282608695652174,1,0.703998447204969,"wang"
0.260869565217391,1,0.703998447204969,"wang"
0.217391304347826,1,0.703998447204969,"wang"
0.173913043478261,1,0.703998447204969,"wang"
0.152173913043478,1,0.703998447204969,"wang"
0.130434782608696,1,0.703998447204969,"wang"
0.108695652173913,1,0.703998447204969,"wang"
0.0869565217391304,1,0.703998447204969,"wang"
0.0652173913043478,1,0.703998447204969,"wang"
0.0434782608695652,1,0.703998447204969,"wang"
0.0217391304347826,1,0.703998447204969,"wang"
0,1,0.703998447204969,"wang"
1,0,0.714285714285714,"weir"
0.428571428571429,1,0.714285714285714,"weir"
0.285714285714286,1,0.714285714285714,"weir"
0.142857142857143,1,0.714285714285714,"weir"
0,1,0.714285714285714,"weir"
1,0,0.672951176983435,"ahn"
1,0.00675675675675676,0.672951176983435,"ahn"
1,0.0135135135135135,0.672951176983435,"ahn"
1,0.027027027027027,0.672951176983435,"ahn"
0.467741935483871,0.837837837837838,0.672951176983435,"ahn"
0.467741935483871,0.844594594594595,0.672951176983435,"ahn"
0.467741935483871,0.851351351351351,0.672951176983435,"ahn"
0.467741935483871,0.858108108108108,0.672951176983435,"ahn"
0.467741935483871,0.864864864864865,0.672951176983435,"ahn"
0.451612903225806,0.864864864864865,0.672951176983435,"ahn"
0.451612903225806,0.871621621621622,0.672951176983435,"ahn"
0.451612903225806,0.878378378378378,0.672951176983435,"ahn"
0.451612903225806,0.885135135135135,0.672951176983435,"ahn"
0.435483870967742,0.885135135135135,0.672951176983435,"ahn"
0.419354838709677,0.885135135135135,0.672951176983435,"ahn"
0.419354838709677,0.891891891891892,0.672951176983435,"ahn"
0.403225806451613,0.891891891891892,0.672951176983435,"ahn"
0.387096774193548,0.898648648648649,0.672951176983435,"ahn"
0.370967741935484,0.898648648648649,0.672951176983435,"ahn"
0.354838709677419,0.898648648648649,0.672951176983435,"ahn"
0.338709677419355,0.918918918918919,0.672951176983435,"ahn"
0.338709677419355,0.925675675675676,0.672951176983435,"ahn"
