otu,occurance
Bacteroides,5
Anaerostipes,4
Lachnospiraceae_unclassified,4
Escherichia.Shigella,3
Firmicutes_unclassified,3
Peptostreptococcus,3
Ruminococcus,3
Bacteroidales_unclassified,2
Clostridiales_unclassified,2
Coprococcus,2
Coriobacteriaceae_unclassified,2
Faecalibacterium,2
Fusobacterium,2
Parabacteroides,2
Parvimonas,2
Porphyromonas,2
Roseburia,2
Alistipes,1
Bacteria_unclassified,1
Bifidobacterium,1
Bilophila,1
Blautia,1
Butyricimonas,1
Clostridia_unclassified,1
Clostridium_IV,1
Clostridium_XlVb,1
Collinsella,1
Comamonas,1
Dialister,1
Dorea,1
Enterococcus,1
Erysipelotrichaceae_unclassified,1
Gemella,1
Klebsiella,1
Lachnospira,1
Methylobacterium,1
Oscillibacter,1
Pasteurellaceae_unclassified,1
Peptostreptococcaceae_unclassified,1
Planococcaceae_unclassified,1
Ruminococcaceae_unclassified,1
Sutterella,1
