"measure","study","high_N","high_Y","low_N","low_Y"
"Acinetobacter","burns",7,2,8,11
"Acinetobacter","chen",6,3,3,6
"Acinetobacter","dejea",7,5,9,12
"Acinetobacter","flemer",0,1,140,93
"Acinetobacter","geng",1,1,7,7
"Actinomyces","burns",6,3,9,10
"Actinomyces","chen",4,5,5,4
"Actinomyces","dejea",0,4,16,13
"Actinomyces","flemer",75,41,65,53
"Actinomyces","geng",5,3,3,5
"Aeromonas","burns",2,0,13,13
"Aeromonas","chen",3,1,6,8
"Aeromonas","dejea",5,1,11,16
"Aeromonas","flemer",2,5,138,89
"Aeromonas","geng",1,3,7,5
"Alistipes","burns",8,6,7,7
"Alistipes","chen",7,2,2,7
"Alistipes","dejea",8,8,8,9
"Alistipes","flemer",60,57,80,37
"Alistipes","geng",3,5,5,3
"Alloprevotella","burns",3,6,12,7
"Alloprevotella","chen",6,3,3,6
"Alloprevotella","dejea",3,2,13,15
"Alloprevotella","flemer",30,25,110,69
"Alloprevotella","geng",2,2,6,6
"Anaerococcus","burns",4,3,11,10
"Anaerococcus","chen",5,4,4,5
"Anaerococcus","dejea",0,4,16,13
"Anaerococcus","flemer",12,19,128,75
"Anaerococcus","geng",1,1,7,7
"Anaerostipes","burns",6,2,9,11
"Anaerostipes","chen",4,2,5,7
"Anaerostipes","dejea",6,10,10,7
"Anaerostipes","flemer",88,29,52,65
"Anaerostipes","geng",0,1,8,7
"Anaerovorax","burns",2,2,13,11
"Anaerovorax","chen",3,6,6,3
"Anaerovorax","dejea",2,5,14,12
"Anaerovorax","flemer",1,2,139,92
"Anaerovorax","geng",3,3,5,5
"Bacteroides","burns",9,5,6,8
"Bacteroides","chen",6,3,3,6
"Bacteroides","dejea",8,8,8,9
"Bacteroides","flemer",74,43,66,51
"Bacteroides","geng",4,4,4,4
"Barnesiella","burns",7,4,8,9
"Barnesiella","chen",6,3,3,6
"Barnesiella","dejea",5,8,11,9
"Barnesiella","flemer",76,41,64,53
"Barnesiella","geng",1,3,7,5
"Bilophila","burns",0,1,15,12
"Bilophila","chen",5,4,4,5
"Bilophila","dejea",2,5,14,12
"Bilophila","flemer",54,40,86,54
"Bilophila","geng",0,1,8,7
"Blautia","burns",7,7,8,6
"Blautia","chen",5,4,4,5
"Blautia","dejea",8,8,8,9
"Blautia","flemer",83,34,57,60
"Blautia","geng",5,3,3,5
"Bradyrhizobium","burns",2,1,13,12
"Bradyrhizobium","chen",1,0,8,9
"Bradyrhizobium","dejea",4,3,12,14
"Bradyrhizobium","flemer",0,4,140,90
"Bradyrhizobium","geng",4,1,4,7
"Brevundimonas","burns",1,2,14,11
"Brevundimonas","chen",2,0,7,9
"Brevundimonas","dejea",6,4,10,13
"Brevundimonas","flemer",1,3,139,91
"Brevundimonas","geng",6,2,2,6
"Butyricimonas","burns",2,1,13,12
"Butyricimonas","chen",6,3,3,6
"Butyricimonas","dejea",4,7,12,10
"Butyricimonas","flemer",63,54,77,40
"Butyricimonas","geng",1,2,7,6
"Campylobacter","burns",1,2,14,11
"Campylobacter","chen",5,4,4,5
"Campylobacter","dejea",0,6,16,11
"Campylobacter","flemer",22,30,118,64
"Campylobacter","geng",0,3,8,5
"Clostridium_IV","burns",8,6,7,7
"Clostridium_IV","chen",4,1,5,8
"Clostridium_IV","dejea",6,10,10,7
"Clostridium_IV","flemer",64,52,76,42
"Clostridium_IV","geng",1,3,7,5
"Clostridium_sensu_stricto","burns",3,3,12,10
"Clostridium_sensu_stricto","chen",5,4,4,5
"Clostridium_sensu_stricto","dejea",3,3,13,14
"Clostridium_sensu_stricto","flemer",56,61,84,33
"Clostridium_sensu_stricto","geng",2,4,6,4
"Clostridium_XI","burns",5,5,10,8
"Clostridium_XI","chen",7,2,2,7
"Clostridium_XI","dejea",6,10,10,7
"Clostridium_XI","flemer",70,47,70,47
"Clostridium_XI","geng",3,4,5,4
"Clostridium_XlVa","burns",8,6,7,7
"Clostridium_XlVa","chen",4,5,5,4
"Clostridium_XlVa","dejea",4,12,12,5
"Clostridium_XlVa","flemer",75,42,65,52
"Clostridium_XlVa","geng",4,4,4,4
"Clostridium_XlVb","burns",8,6,7,7
"Clostridium_XlVb","chen",5,4,4,5
"Clostridium_XlVb","dejea",6,10,10,7
"Clostridium_XlVb","flemer",79,38,61,56
"Clostridium_XlVb","geng",4,4,4,4
"Clostridium_XVIII","burns",4,8,11,5
"Clostridium_XVIII","chen",5,4,4,5
"Clostridium_XVIII","dejea",5,9,11,8
"Clostridium_XVIII","flemer",89,28,51,66
"Clostridium_XVIII","geng",4,4,4,4
"Coprococcus","burns",4,2,11,11
"Coprococcus","chen",5,4,4,5
"Coprococcus","dejea",2,3,14,14
"Coprococcus","flemer",89,28,51,66
"Coprococcus","geng",4,4,4,4
"Corynebacterium","burns",8,6,7,7
"Corynebacterium","chen",7,2,2,7
"Corynebacterium","dejea",1,0,15,17
"Corynebacterium","flemer",25,8,115,86
"Corynebacterium","geng",5,3,3,5
"Dialister","burns",4,9,11,4
